t,H-Concentration,OH-Concentration,O2-Concentration,HO2-Concentration,C-Concentration,CH-Concentration,CH3-Concentration,C3H7-Concentration,H-Reaction_rate,OH-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,C-Reaction_rate,CH-Reaction_rate,CH3-Reaction_rate,C3H7-Reaction_rate,T
1.2179999999999676e-13,1.4467103453492374,0.45867116143855263,0.015228746368819141,2.2554356729119034,1.4184415934514356,0.6589171996836045,0.04115420689769214,1.2938289999890897,-2140503057784.2532,-2038521662447.8594,-685578413535.5919,1704839244759.5215,-3711732353617.8687,4272930341229.168,-733924341995.3175,57575451461.33938,1000.0
1.2189999999999676e-13,1.446496229272739,0.45846739990536,0.015160320414659895,2.255605979632659,1.4180703783620312,0.6593444878097441,0.04108088667045884,1.293834749052589,-2141811821725.5068,-2036710866081.5488,-682940545359.96,1701295978400.7344,-3712568777274.4126,4272832126500.534,-732486403349.8931,57407684707.92374,1000.0
1.2199999999999675e-13,1.4462819826118014,0.4582638193312087,0.015092157853193903,2.2557759324812006,1.4176990800400975,0.6597717657875081,0.04100771007903929,1.2938404813644522,-2143114746534.0789,-2034902481410.5942,-680310544539.412,1697761785244.709,-3713397019558.9663,4272727389788.6777,-731051624829.08,57240418199.78941,1000.0
1.2209999999999675e-13,1.4460676059504725,0.45806041947490733,0.01502425789855353,2.2559455323639916,1.4173276993027912,0.6601990329655865,0.04093467680688373,1.2938461969749133,-2144411848602.6646,-2033096504152.1377,-677688398166.9467,1694236650243.0156,-3714217098110.838,4272616145560.945,-729619998498.3633,57073650349.418846,1000.0
1.2219999999999674e-13,1.4458530998712167,0.45785720009567954,0.014956619766182616,2.2561147801859764,1.416956236965493,0.6606262886941341,0.04086178653818329,1.2938518959340637,-2145703144283.453,-2031292930032.7073,-675074093315.436,1690720558331.7896,-3715029030575.9307,4272498408296.8315,-728191516445.5394,56907379574.87962,1000.0
1.2229999999999674e-13,1.4456384649549217,0.4576541609531624,0.014889242672839316,2.2562836768505785,1.4165846938418047,0.6610535323247725,0.040789038957866515,1.2938575782918524,-2146988649888.2644,-2029491754788.1853,-672467617037.8013,1687213494431.894,-3715832834606.5815,4272374192487.7974,-726766170780.6067,56741604299.79697,1000.0
1.2239999999999673e-13,1.4454237017809017,0.4574513018074053,0.014822125836598907,2.2564522232596973,1.4162130707435487,0.6614807632105918,0.040716433751595935,1.2938632440980882,-2148268381688.6887,-2027692974163.7837,-669868956367.1918,1683715443449.0835,-3716628527861.4033,4272243512637.0835,-725343953635.6604,56576322953.32663,1000.0
1.2249999999999673e-13,1.4452088109269057,0.45724862241886854,0.014755268476856622,2.256620420313708,1.4158413684807667,0.6619079807061529,0.040643970605764634,1.293868893402439,-2149542355916.2231,-2025896583914.0144,-667278098317.1633,1680226390274.1704,-3717416128005.13,4272106383259.534,-723924857164.7874,56411533970.127914,1000.0
1.2259999999999672e-13,1.4449937929691195,0.4570461225484225,0.01468866981433047,2.2567882689114573,1.4154695878617185,0.6623351841674892,0.04057164920749275,1.2938745262544336,-2150810588762.4036,-2024102579802.6636,-664695029881.8601,1676746319783.192,-3718195652708.4463,4271962818881.3955,-722508873543.9587,56247235790.33658,1000.0
1.2269999999999672e-13,1.4447786484821739,0.4568438019573458,0.014622329071064057,2.256955769950262,1.4150977296928802,0.6627623729521088,0.04049946924462409,1.2938801427034627,-2152073096378.9502,-2022310957602.764,-662119738036.1973,1673275216837.579,-3718967119647.8335,4271812834040.1445,-721095994970.9257,56083426859.538124,1000.0
